to,pcts,icds,urban,id,from
1168,ALW-BNS-MOR-002,8104020211,FALSE,3149,1168
1167,ALW-BNS-MOR-001,8104020215,FALSE,81263,1167
1167,ALW-BNS-MOR-005,8104020232,FALSE,1896,1167
1169,ALW-BNS-NNG-001,8104020208,FALSE,1900,1169
1166,ALW-BNS-MOR-003,8104020209,FALSE,1899,1166
1169,ALW-BNS-NNG-004,8104020212,FALSE,1901,1169
1154,ALW-BNS-NNG-005,8104020214,FALSE,1874,1154
1154,ALW-BNS-NNG-003,8104020213,FALSE,1873,1154
1152,ALW-BNS-MOR-004,8104020210,FALSE,1872,1152
1155,ALW-BNS-NNG-002,8104020216,FALSE,1877,1155
1223,ALW-BNS-KAR-002,8104020802,FALSE,2012,1223
1223,ALW-BNS-KAR-001,8104020801,FALSE,2011,1223
1223,ALW-BNS-KAR-003,8104020803,FALSE,2008,1223
1223,ALW-BNS-KAR-005,8104020805,FALSE,2009,1223
1223,ALW-BNS-KAR-006,8104020806,FALSE,2010,1223
1223,ALW-BNS-KAR-004,8104020804,FALSE,2007,1223
1237,ALW-BNS-KHW-001,8104020425,FALSE,2031,1237
19462,ALW-BNS-LLP-001,8104020817,FALSE,29675,19462
1224,ALW-BNS-LLP-002,8104020821,FALSE,2013,1224
1239,ALW-BNS-MLK-003,8104020312,FALSE,2036,1239
1229,ALW-BNS-TUR-002,8104020822,FALSE,2020,1229
1230,ALW-BNS-TUR-001,8104020818,FALSE,2019,1230
1230,ALW-BNS-TUR-003,8104020819,FALSE,29909,19533
1226,ALW-BNS-NYB-002,8104020820,FALSE,2016,1226
19737,ALW-BNS-NYB-003,8104020816,FALSE,2015,19737
19737,ALW-BNS-NYB-001,8104020815,FALSE,29738,19481
1227,ALW-BNS-BSS-002,8104020419,FALSE,2018,1227
1232,ALW-BNS-MLK-002,8104020309,FALSE,2024,1232
1231,ALW-BNS-ALM-002,8104020307,FALSE,2025,1231
1231,ALW-BNS-ALM-001,8104020306,FALSE,2022,1231
1234,ALW-BNS-CHN-002,8104020305,FALSE,2026,1234
1233,ALW-BNS-CHN-001,8104020303,FALSE,2027,1233
1235,ALW-BNS-JHG-001,8104020414,FALSE,2028,1235
1236,ALW-BNS-KNK-002,8104020316,FALSE,2030,1236
1236,ALW-BNS-KNK-001,8104020320,FALSE,2029,1236
1238,ALW-BNS-KHH-003,8104020422,FALSE,2032,1238
1238,ALW-BNS-KHH-004,8104020423,FALSE,2034,1238
1238,ALW-BNS-KHH-001,8104020420,FALSE,2033,1238
1238,ALW-BNS-KHH-002,8104020421,FALSE,2035,1238
19900,ALW-BNS-SHY-003,8104020304,FALSE,2045,19900
19900,ALW-BNS-SHY-002,8104020302,FALSE,2044,19900
19900,ALW-BNS-SHY-001,8104020301,FALSE,2043,19900
26488,ALW-BNS-RTN-004,8104020922,FALSE,2071,43917
26488,ALW-BNS-RTN-003,8104020921,FALSE,2078,43916
43915,ALW-BNS-RTN-008,8104020928,FALSE,2074,43915
26488,ALW-BNS-RTN-005,8104020923,FALSE,84671,43918
43915,ALW-BNS-RTN-007,8104020927,FALSE,2079,43904
26488,ALW-BNS-RTN-006,8104020924,FALSE,2073,43916
1251,ALW-BNS-PLS-001,8104020915,FALSE,2061,1251
1251,ALW-BNS-PLS-002,8104020916,FALSE,2063,1251
1251,ALW-BNS-PLS-003,8104020917,FALSE,2062,1251
1243,ALW-BNS-GDH-003,8104020918,FALSE,2048,1243
1243,ALW-BNS-GDH-001,D8104020912,FALSE,2049,1243
1243,ALW-BNS-GDH-004,8104020919,FALSE,2047,1243
1243,ALW-BNS-GDH-002,8104020913,FALSE,2046,1243
20086,ALW-BNS-KYN-001,8104020914,FALSE,30731,20086
1248,ALW-BNS-LEK-004,8104020521,FALSE,2056,1248
1249,ALW-BNS-MND-001,8104020620,FALSE,2057,1249
1249,ALW-BNS-MND-002,8104020621,FALSE,2058,1249
1250,ALW-BNS-NTH-003,8104020920,FALSE,2059,1250
1252,ALW-BNS-PLS-005,8104020905,FALSE,2064,1252
1253,ALW-BNS-RMP-005,8104020906,FALSE,2069,1253
1253,ALW-BNS-RMP-001,8104020901,FALSE,2068,1253
1253,ALW-BNS-RMP-006,8104020907,FALSE,2066,1253
1253,ALW-BNS-RMP-002,8104020902,FALSE,2070,1253
1253,ALW-BNS-RMP-004,8104020904,FALSE,2065,1253
1253,ALW-BNS-RMP-003,8104020903,FALSE,2067,1253
1255,ALW-BNS-RTN-009,,FALSE,2076,1255
1255,ALW-BNS-RTN-001,8104020925,FALSE,2010,1223
1259,ALW-BHR-DHI-001,8104030122,FALSE,2099,1259
1258,ALW-BHR-DHI-004,8104030121,FALSE,2100,1258
1259,ALW-BHR-DHI-002,8104030123,FALSE,2098,1259
1258,ALW-BHR-DHI-003,8104030120,FALSE,2101,1258
20086,ALW-BHR-KNK-004,8104030119,FALSE,30731,20086
1261,ALW-BHR-KNK-001,8104030116,FALSE,2103,1261
1262,ALW-BHR-KNK-003,8104030118,FALSE,2104,1262
1261,ALW-BHR-KNK-006,8104030129,FALSE,2107,1261
1261,ALW-BHR-KNK-005,8104030115,FALSE,2102,1261
1263,ALW-BHR-KAR-005,8104030125,FALSE,2109,1263
1264,ALW-BHR-KAR-003,8104030127,FALSE,2110,1264
1263,ALW-BHR-KAR-004,8104030124,FALSE,2112,1263
1263,ALW-BHR-KAR-001,8104030126,FALSE,2108,1263
1265,ALW-BHR-KAR-002,8104030128,FALSE,2111,1265
1289,ALW-BHR-DAW-004,8104030316,FALSE,2118,1289
